"user_id","name","screen_name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x205576004","Joseph Haraszti, MD","DrJoeHaraszti","Pasadena, CA","Dr. Joe Haraszti is a world-renown psychiatrist and addictionologist who specializes in the treatment of depression, addiction and bipolar illness.",,FALSE,269,409,8,1902,4,2010-10-21 05:05:32,FALSE,,,"en","https://pbs.twimg.com/profile_banners/205576004/1464106343","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/735145725353287680/8xmSmKAU_normal.jpg"
"x44375201","Marta Waller","martavision","Southern California","","http://t.co/O2klSdzshs",FALSE,9864,2700,46,8758,10,2009-06-03 14:59:22,FALSE,"http://t.co/O2klSdzshs","http://www.kissmediaco.com","en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1488826870/Marta_normal.jpg"
"x41674924","Colin Baker","ColinBBaker","Los Angeles","","http://t.co/l6NNCdN0MG",FALSE,1331,2379,50,7889,2,2009-05-21 20:52:13,FALSE,"http://t.co/l6NNCdN0MG","http://kissmedicaco.com","en",,"http://pbs.twimg.com/profile_background_images/14710692/AHPR_logo_new.jpg","http://pbs.twimg.com/profile_images/1431275250/IMG_0030_normal.JPG"
"x16735168","rogerscott","rogerscott","Los Angeles","","http://t.co/wS6SEMs3Pj",FALSE,4841,859,40,9104,38,2008-10-14 07:52:09,FALSE,"http://t.co/wS6SEMs3Pj","http://kissmediaco.com","en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000204924889/0872f4fc3532b87ca9e3aaf06e44a8a3_normal.png"
"x325770200","K.I.S.S. Media","KISSMediaCo","Los Angeles, CA","Your company has its own voice. We just turn up the volume. K.I.S.S. Media. 
#marketing #production #losangeles media training, social networking","http://t.co/PgcssDincG",FALSE,818,1872,64,7885,7,2011-06-28 20:56:31,FALSE,"http://t.co/PgcssDincG","http://www.kissmediaco.com","en",,"http://pbs.twimg.com/profile_background_images/279761202/K.I.S.S._lips_logo.jpg","http://pbs.twimg.com/profile_images/1417775932/Kiss_square_normal.jpg"
"x2829937774","STPStudentServices","STPStServices","","",,FALSE,204,544,121,16103,8,2014-10-14 17:16:11,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/524595492458479616/4SDWHwU0_normal.png"
"x361598155","kandy mich","TWITLYBUTTON","","A person living the life that I have and wondering why? 2018 new years resolution is an #ifamresolution I log in my food log while watchin the daily #Ifam vlogs",,FALSE,94,484,2,4006,8066,2011-08-25 01:23:13,FALSE,,,"en","https://pbs.twimg.com/profile_banners/361598155/1509079534","http://pbs.twimg.com/profile_background_images/378800000177502905/FmblWCqg.jpeg","http://pbs.twimg.com/profile_images/965073265885528065/LTGHyCo0_normal.jpg"
"x80741093","Robert Scott Bell","rsbellmedia","The US & world of Health Talk Radio","The voice of health freedom and healing liberty. 7-9p ET M-F, 1-3p ET Sundays","http://t.co/dTCicjxrTX",FALSE,6048,2168,205,24560,1610,2009-10-08 02:11:22,FALSE,"http://t.co/dTCicjxrTX","http://robertscottbell.com/","en","https://pbs.twimg.com/profile_banners/80741093/1428679035","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/633688141996687360/vHyjZIhv_normal.jpg"
"x121291327","Ty & Char Bollinger","CancerTruthNews","Anytown, USA","Ty and Charlene Bollinger are Christians, health freedom advocates, cancer researchers, and author of the best‐selling book Cancer - Step Outside the Box.","http://t.co/ydeLDhBeRz",FALSE,6698,633,111,10013,1106,2010-03-09 01:52:00,FALSE,"http://t.co/ydeLDhBeRz","http://www.CancerTruth.net","en","https://pbs.twimg.com/profile_banners/121291327/1508989988","http://pbs.twimg.com/profile_background_images/438911022993137664/-WZ8V14s.png","http://pbs.twimg.com/profile_images/923397742637936640/Up-mMnFD_normal.jpg"
"x715190034866028544","ForesterTKH","ForesterTKH","","Oathkeeper NRA GOA",,FALSE,567,989,1,21447,35836,2016-03-30 14:52:46,FALSE,,,"en","https://pbs.twimg.com/profile_banners/715190034866028544/1520290211","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/721408048389087232/PYaahXM2_normal.jpg"
"x121291327","Ty & Char Bollinger","CancerTruthNews","Anytown, USA","Ty and Charlene Bollinger are Christians, health freedom advocates, cancer researchers, and author of the best‐selling book Cancer - Step Outside the Box.","http://t.co/ydeLDhBeRz",FALSE,6698,633,111,10013,1106,2010-03-09 01:52:00,FALSE,"http://t.co/ydeLDhBeRz","http://www.CancerTruth.net","en","https://pbs.twimg.com/profile_banners/121291327/1508989988","http://pbs.twimg.com/profile_background_images/438911022993137664/-WZ8V14s.png","http://pbs.twimg.com/profile_images/923397742637936640/Up-mMnFD_normal.jpg"
"x4498309337","Ask Pippa","AskPippa","Toronto, Ontario","Ask Pippa was a Q&A science column in the Toronto Star. That's me. I'm a freelance science writer, curious about the world, and like to share what I find out.","https://t.co/WkU3UVyCev",FALSE,156,305,40,2494,230,2015-12-16 02:29:37,FALSE,"https://t.co/WkU3UVyCev","http://www.AskPippa.ca","en","https://pbs.twimg.com/profile_banners/4498309337/1450237843",,"http://pbs.twimg.com/profile_images/676970031687802881/N6bZCRd0_normal.jpg"
"x2296214449","Kendra B","DrKendraB","Ontario","",,FALSE,91,266,5,542,111,2014-01-17 14:31:06,FALSE,,,"en","https://pbs.twimg.com/profile_banners/2296214449/1415110577","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/769894630666174464/CyH1QVVx_normal.jpg"
"x937368143311310848","Ottawa News & Events 🎈","SocialTekOttawa","Ottawa, Ontario","News & (sometimes global) events in & around Ottawa, Canada. #ottevents #Ottawa #ottcity #Glebe #InTheGlebe #myOttawa #ottnews #Gatineau . Also, puns, humo[u]r.",,FALSE,327,629,4,18259,942,2017-12-03 17:09:15,FALSE,,,"en","https://pbs.twimg.com/profile_banners/937368143311310848/1512991821",,"http://pbs.twimg.com/profile_images/941084418499756032/lIV2RE8c_normal.jpg"
"x84366480","Ottawa Public Health","ottawahealth","En français @OttawaSante","Ottawa’s leading source for health information, programs & services. Prevention, promotion & protection for healthy communities. Tweets by: Christine & Eric","https://t.co/al6xqGWQ49",FALSE,51660,439,806,22889,6448,2009-10-22 16:41:01,TRUE,"https://t.co/al6xqGWQ49","https://twitter.com/ottawasante","en","https://pbs.twimg.com/profile_banners/84366480/1518187618","http://pbs.twimg.com/profile_background_images/378800000117327742/91a4df3d9316ba73bac72abb2291b4a2.jpeg","http://pbs.twimg.com/profile_images/664995376915582976/IQBf8k31_normal.jpg"
"x1606384740","Vanessa Ford","VanessaFordDC","Washington,DC","Mama Bear, 😍 @MrJRFord, Equal Rights & Edu Advocate. DC to Boston. Dir. of Ed for STEM Nonprofit. Board Mem @TransEquality #BLM #GenderRevolution Opinions Mine","https://t.co/qgyxoM64VZ",FALSE,3237,2479,111,22092,12360,2013-07-19 17:35:13,TRUE,"https://t.co/qgyxoM64VZ","http://www.itsnotpie.org","en","https://pbs.twimg.com/profile_banners/1606384740/1489080394","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/925421909420003329/Vl6dGupM_normal.jpg"
"x879759914847096836","Mimi Ho","MimiHo18","","",,FALSE,301,206,2,10043,15482,2017-06-27 17:54:43,FALSE,,,"en",,,"http://pbs.twimg.com/profile_images/881212297284382720/Qnx66ZHy_normal.jpg"
"x890280870627733505","Joseph O'Neill","JMONEILL1975","","a proud full time single father that supports and defends my daughter,our heritage,our beliefs,our rights,justice and our flag!#standforourkids #MAGA",,FALSE,223,317,1,5000,8808,2017-07-26 18:41:14,FALSE,,,"en",,,"http://pbs.twimg.com/profile_images/921687671956635648/ii3tLKhN_normal.jpg"
"x535595055","Vickaric","Vickaric","","",,FALSE,233,283,30,73483,49632,2012-03-24 16:50:45,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/628652931487789056/SNbWpcdE_normal.jpg"
"x726103488","Paul Taylor","epaultaylor","Toronto","Patient Navigation Advisor at Sunnybrook Health Sciences Centre. Focused on #Health, #Science as well as Space.",,FALSE,2797,316,297,20331,7592,2012-07-30 13:50:56,FALSE,,,"en","https://pbs.twimg.com/profile_banners/726103488/1447209156","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/664265948833054720/A9j4xPq1_normal.jpg"
"x362780183","Kevin Wilson","WilsonKM2","Halifax, Nova Scotia, Canada","MSc in Epidemiology from Dalhousie University Player of softball, baker of treats, doer of statistics. I live-tweet sex work studies on Sundays.",,FALSE,1246,887,95,74996,32796,2011-08-26 23:58:10,FALSE,,,"en","https://pbs.twimg.com/profile_banners/362780183/1398389868","http://pbs.twimg.com/profile_background_images/851804565/b6d2d4474f37e0c94d78ec48b328d1cf.png","http://pbs.twimg.com/profile_images/420037615182553088/eGivx9YH_normal.jpeg"
"x2387762712","Maria Gutschi","SewPharmD","Ottawa","Currently establishing clinical pharmacy program & antimicrobial stewardship to small community hospital, mom, wife, sews to keep sane",,FALSE,189,225,59,4926,117,2014-03-13 19:46:34,FALSE,,,"en","https://pbs.twimg.com/profile_banners/2387762712/1403126167","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/479372452657504256/AzJhxyjx_normal.jpeg"
"x267121768","John Redins","JohnRedins","Algonquin Territory ","Resident Ottawa South last 15 yrs @OSGreens Fed Candidate of Record 50/50 Seller for @sensfoundation hometown @TownofSchreiber","https://t.co/vvvu5C7nQP",FALSE,1635,4449,167,66547,57095,2011-03-16 11:03:52,FALSE,"https://t.co/vvvu5C7nQP","http://JohnRedins.ca","en","https://pbs.twimg.com/profile_banners/267121768/1487447625","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/864287070889676800/WGZdsK3__normal.jpg"
"x493529006","Kathy Vassilakos","KVassilakos","","",,FALSE,181,195,25,7160,4751,2012-02-15 22:06:46,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/474684715266736129/aZxH3KJO_normal.jpeg"
"x18032441","ResearchBlogging.org","ResearchBlogs","","The best blog posts about peer-reviewed research","http://t.co/rJlWs5WFmb",FALSE,9361,106,730,29035,16,2008-12-10 22:11:22,FALSE,"http://t.co/rJlWs5WFmb","http://researchblogging.org","en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/67031926/rb_normal.png"
"x938760852177502208","Natural Health News","news_natural","united states","Latest news and tips in natural and alternative health industry!",,FALSE,162,108,1,3674,7089,2017-12-07 13:23:23,FALSE,,,"en",,,"http://pbs.twimg.com/profile_images/938772402619662337/HQGkZktC_normal.jpg"
"x409413254","Karla MacDonald","macdonald_karla","","Mom, healthcare/R&D groupie, communications leader, world traveler and advocate for girls and women (on and off the ice). Opinions my own.",,FALSE,356,297,8,870,1062,2011-11-10 18:08:42,FALSE,,,"en","https://pbs.twimg.com/profile_banners/409413254/1446608753","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/721921515864723456/BOlR9E7t_normal.jpg"
"x714410686496051200","Restart","restartfirstaid","","","https://t.co/Eew2QbQ0GD",FALSE,11,18,1,73,26,2016-03-28 11:15:55,FALSE,"https://t.co/Eew2QbQ0GD","http://www.restartfirstaid.ca","en","https://pbs.twimg.com/profile_banners/714410686496051200/1464975280","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/738785899241050113/5wvIyLVZ_normal.jpg"
"x327638978","Elizabeth Anderson","kemommedic","Ontario, Canada","wife, mother, equestrian, paramedic, co-owner of ReStart.  Passionate supporter of Community Paramedicine.    Many hats make the woman!","https://t.co/Eew2QbQ0GD",FALSE,107,154,5,776,183,2011-07-01 22:10:10,FALSE,"https://t.co/Eew2QbQ0GD","http://www.restartfirstaid.ca","en","https://pbs.twimg.com/profile_banners/327638978/1464478238","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/736701082114662400/ZW_-bQoA_normal.jpg"
"x127763121","Isabel Jordan","seastarbatita","Canada's West Coast","Parent. Rare Disease/Patient Advocate. Feminist. Nerd. #hcsmca #PatientsIncluded https://t.co/bQwCfAiGLB (Avatar from @blackmudpuppy)","https://t.co/7hS9py2H1M",FALSE,3643,1939,375,63500,52273,2010-03-30 04:47:39,FALSE,"https://t.co/7hS9py2H1M","http://rarediseasefoundation.org","en","https://pbs.twimg.com/profile_banners/127763121/1454977678","http://abs.twimg.com/images/themes/theme5/bg.gif","http://pbs.twimg.com/profile_images/875460231018328065/WOLMJ4wi_normal.jpg"
"x953251168125374464","Mercè Prieto","PrietoButille","Barcelona, Espanya","Anesthesiologist. Infectious diseases specialist, Acupunturist. Tweets my own. No medical advice",,FALSE,34,59,0,134,105,2018-01-16 13:02:43,FALSE,,,"ca",,,"http://pbs.twimg.com/profile_images/958795804629786624/eGb9iHZA_normal.jpg"
"x1269990092","Francisca Sinn","mcfslaw","Toronto, Canada","Degrees in law, political science/ economics; student of much more. Grateful for much & many.  Tweets are not legal advice, obviously.",,FALSE,698,480,379,36390,24045,2013-03-15 15:30:36,FALSE,,,"en","https://pbs.twimg.com/profile_banners/1269990092/1363632101","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/439962526000754688/Yxx8RQdD_normal.jpeg"
"x262726504","Champlain LHIN","champlainlhin","Eastern Ontario ","Ontario Crown Agency that plans, funds and coordinates health services in the Champlain region. En français @rlisschamplain","http://t.co/GYVlurRRex",FALSE,2254,943,56,1680,374,2011-03-08 16:46:43,FALSE,"http://t.co/GYVlurRRex","http://www.champlainlhin.on.ca","en","https://pbs.twimg.com/profile_banners/262726504/1413571376","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/895333707661418496/bkwJm_CK_normal.jpg"
"x252794509","André Picard","picardonhealth","Montréal","André Picard is the health columnist at The Globe and Mail. I tweet and RT about health issues, running and journalism. RTs not endorsements, etc.","http://t.co/VMj9wZWseA",FALSE,70746,1505,2355,94076,594,2011-02-15 22:51:18,TRUE,"http://t.co/VMj9wZWseA","http://www.andrepicard.com","en","https://pbs.twimg.com/profile_banners/252794509/1511382255","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/933428646253129728/iSEOlcA3_normal.jpg"
"x823240654377615361","Marsha","mlnxn53","Kansas, USA","Only joined to follow President Trump and his patriotic followers.",,FALSE,222,181,1,2100,27970,2017-01-22 18:47:21,FALSE,,,"en","https://pbs.twimg.com/profile_banners/823240654377615361/1510524702","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/930195769637847040/UsMuhSIm_normal.jpg"
"x37435381","Nancy Logan","nanlog","","",,FALSE,159,450,13,5387,5879,2009-05-03 15:27:09,FALSE,,,"en",,"http://pbs.twimg.com/profile_background_images/17904784/IMG_0001.JPG","http://pbs.twimg.com/profile_images/449889916315389952/aYeoC0kf_normal.jpeg"
"x1880324160","François Côté","Ottawa_Medic","Ottawa","All tweets represent my own thoughts and opinions and do not represent those of my employer.",,FALSE,2081,1634,84,19508,26151,2013-09-18 18:03:21,FALSE,,,"en","https://pbs.twimg.com/profile_banners/1880324160/1389901089","http://abs.twimg.com/images/themes/theme12/bg.gif","http://pbs.twimg.com/profile_images/490692318580600832/snEvHGlo_normal.jpeg"
"x252794509","André Picard","picardonhealth","Montréal","André Picard is the health columnist at The Globe and Mail. I tweet and RT about health issues, running and journalism. RTs not endorsements, etc.","http://t.co/VMj9wZWseA",FALSE,70746,1505,2355,94076,594,2011-02-15 22:51:18,TRUE,"http://t.co/VMj9wZWseA","http://www.andrepicard.com","en","https://pbs.twimg.com/profile_banners/252794509/1511382255","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/933428646253129728/iSEOlcA3_normal.jpg"
"x213416643","Ottawa Paramedic Svc","OttawaParamedic","Ottawa, Ontario, Canada","#Ottawa #Paramedic #Paramédic Service Paramédic #Ottawa Account not monitored 24/7. Cette page n’est pas surveillée 24/7. https://t.co/sPpxDR08lq",,FALSE,11333,388,166,6378,2111,2010-11-08 21:39:55,FALSE,,,"en","https://pbs.twimg.com/profile_banners/213416643/1389885399","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/941093617661304832/CvAv13DI_normal.jpg"
"x940307857689387008","CommunityParamedics","OTT_CPmedic","Ottawa, Ontario","#Ottawa #CommunityParamedics #ParamédicsCommunautaire
#Paramedic #Paramédic 
Account not monitored 24/7.
Cette page n’est pas surveillée 24/7.",,FALSE,124,90,3,260,205,2017-12-11 19:50:38,FALSE,,,"en","https://pbs.twimg.com/profile_banners/940307857689387008/1513205937",,"http://pbs.twimg.com/profile_images/965591169181847558/_qTJLu5Y_normal.jpg"
"x16854311","TannersDad Tim","TannersDad","Chicago Illinois United States","Age of Autism Vaccine Injury Health #NeverAgain #MentalHealth Activist #WEDID Vaccinate #CDCwhistleblower #VaxXed Vegan #ICAN VaXism News Vaccines Injure #VaXXX","https://t.co/8JFKoCLkg6",FALSE,21404,21366,1145,221120,11147,2008-10-19 18:44:28,FALSE,"https://t.co/8JFKoCLkg6","http://AmericanHealthCoalition.com","en","https://pbs.twimg.com/profile_banners/16854311/1506784127","http://pbs.twimg.com/profile_background_images/433731617/TannerandTim.png","http://pbs.twimg.com/profile_images/903047358941974529/XwDLZ8Jo_normal.jpg"
"x3086781770","@VialNews","VialNews","","",,FALSE,2064,1004,76,21438,5577,2015-03-15 20:23:58,FALSE,,,"en","https://pbs.twimg.com/profile_banners/3086781770/1427955980","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/577204414005403648/wYdyNpol_normal.jpeg"
"x16854311","TannersDad Tim","TannersDad","Chicago Illinois United States","Age of Autism Vaccine Injury Health #NeverAgain #MentalHealth Activist #WEDID Vaccinate #CDCwhistleblower #VaxXed Vegan #ICAN VaXism News Vaccines Injure #VaXXX","https://t.co/8JFKoCLkg6",FALSE,21404,21366,1145,221120,11147,2008-10-19 18:44:28,FALSE,"https://t.co/8JFKoCLkg6","http://AmericanHealthCoalition.com","en","https://pbs.twimg.com/profile_banners/16854311/1506784127","http://pbs.twimg.com/profile_background_images/433731617/TannerandTim.png","http://pbs.twimg.com/profile_images/903047358941974529/XwDLZ8Jo_normal.jpg"
"x108397361","VidantHealth","Vidant_Health","Greenville, NC","Vidant Health is a mission-driven, not-for-profit health system in eastern North Carolina.","http://t.co/YWqAvsoXVA",FALSE,3407,1281,171,21385,768,2010-01-25 20:33:45,FALSE,"http://t.co/YWqAvsoXVA","http://www.vidanthealth.com","en","https://pbs.twimg.com/profile_banners/108397361/1519916119","http://pbs.twimg.com/profile_background_images/408894749/VIDANT_Twitter_BG.jpg","http://pbs.twimg.com/profile_images/1766647838/Vidant_logo_normal.jpg"
"x2567913765","DEPORABLE WINNERS","dennyds24","USA","conservative,but open to hearing and learning new thoughts,I think for the first time in many many years we have the best POTUS and VP in the history of USA",,FALSE,1850,3284,58,55310,6358,2014-05-27 21:37:01,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/702886189188128768/ckkxdgAh_normal.jpg"
"x903970073123196928","John 🇺🇸@prousa 🙏🇺🇸","JohnNag59075515","United States","#MAGA #1A #2A #NRA 🇺🇸 GOD BLESS AMERICA and our PRESIDENT, married 41 years, still loving the institution 🙏 love our dogs, cat, chickens , love the country.",,FALSE,4121,4474,13,53045,24992,2017-09-02 13:17:15,FALSE,,,"en","https://pbs.twimg.com/profile_banners/903970073123196928/1520037233",,"http://pbs.twimg.com/profile_images/969732569825656832/53Ogdx_R_normal.jpg"
"x824254821402185728","RBH🌵100%#45DJT","pwrfish65","Arizona, USA","🙏🏻#MAGA🇺🇸 #Draintheswamp 🇺🇸#TermLimits🇺🇸 #VoterID 🇺🇸#NRA",,FALSE,1151,1730,0,6706,17026,2017-01-25 13:57:18,FALSE,,,"en","https://pbs.twimg.com/profile_banners/824254821402185728/1515550361","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/824257515579809792/uvgZ7-8u_normal.jpg"
"x846664664","Proud American","tkamins123","","Married to my best friend25yrs, 2wonderful Son's! I Luv God my family, friends,Our Republic! I support ourPoliceMilitary,Mr.PresidentTrump&Common Sense&⚖️🇺🇸🚂",,FALSE,5278,5161,27,79179,78656,2012-09-26 03:04:55,FALSE,,,"en","https://pbs.twimg.com/profile_banners/846664664/1506636140","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/954154986463666176/iVySl7Ak_normal.jpg"
"x125322205","Natrice Rese 🇨🇦","NatriceR","Timmins, Ontario","retired PSW/caregiver, giving back ❤ #epatient scholar #Stanford #Medx #hcsmca #alzchat #HCLDR #walkingGallery #volunteer #ProjectLove standing w/USA 🇨🇦🇺🇸","https://t.co/6XGtves4RO",FALSE,13697,15090,1305,266848,146531,2010-03-22 12:49:10,FALSE,"https://t.co/6XGtves4RO","http://about.me/NatriceRese","en","https://pbs.twimg.com/profile_banners/125322205/1520532813","http://pbs.twimg.com/profile_background_images/433275459095113728/KoAxPhN2.jpeg","http://pbs.twimg.com/profile_images/971811165004337152/EaWtoAi0_normal.jpg"
"x726103488","Paul Taylor","epaultaylor","Toronto","Patient Navigation Advisor at Sunnybrook Health Sciences Centre. Focused on #Health, #Science as well as Space.",,FALSE,2797,316,297,20331,7592,2012-07-30 13:50:56,FALSE,,,"en","https://pbs.twimg.com/profile_banners/726103488/1447209156","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/664265948833054720/A9j4xPq1_normal.jpg"
